name,id,name_type,class,mass,fall,year,lat,long,geolocation
Allende,2278,Valid,CV3,2000000,Fell,1969,26.96667,-105.31667,"(26.96667, -105.31667)"
Jilin,12171,Valid,H5,4000000,Fell,1976,44.05,126.16667,"(44.05, 126.16667)"
Sikhote-Alin,23593,Valid,"Iron, IIAB",23000000,Fell,1947,46.16,134.65333,"(46.16, 134.65333)"
Al Haggounia 001,44857,Valid,Aubrite,3000000,Found,2006,27.5,-12.5,"(27.5, -12.5)"
Armanty,2335,Valid,"Iron, IIIE",28000000,Found,1898,47,88,"(47.0, 88.0)"
Bacubirito,4919,Valid,"Iron, ungrouped",22000000,Found,1863,26.2,-107.83333,"(26.2, -107.83333)"
Bendegó,5015,Valid,"Iron, IC",5360000,Found,1784,-10.11667,-39.2,"(-10.11667, -39.2)"
Bitburg,5062,Valid,"Iron, IAB complex",1500000,Found,1805,49.96667,6.53333,"(49.96667, 6.53333)"
Brenham,5136,Valid,"Pallasite, PMG-an",4300000,Found,1882,37.5825,-99.16361,"(37.5825, -99.16361)"
Campinorte,52093,Valid,"Iron, ungrouped",2000000,Found,1992,-14.258,-49.15917,"(-14.258, -49.15917)"
Campo del Cielo,5247,Valid,"Iron, IAB-MG",50000000,Found,1575,-27.46667,-60.58333,"(-27.46667, -60.58333)"
Canyon Diablo,5257,Valid,"Iron, IAB-MG",30000000,Found,1891,35.05,-111.03333,"(35.05, -111.03333)"
Cape York,5262,Valid,"Iron, IIIAB",58200000,Found,1818,76.13333,-64.93333,"(76.13333, -64.93333)"
Casas Grandes,5285,Valid,"Iron, IIIAB",1545000,Found,1867,30.4,-107.8,"(30.4, -107.8)"
Charcas,5326,Valid,"Iron, IIIAB",1400000,Found,1804,23.08333,-101.01667,"(23.08333, -101.01667)"
Chupaderos,5363,Valid,"Iron, IIIAB",24300000,Found,1852,27,-105.1,"(27.0, -105.1)"
Coahuila,5387,Valid,"Iron, IIAB",2100000,Found,1837,28.7,-102.73333,"(28.7, -102.73333)"
Cranbourne,5463,Valid,"Iron, IAB-MG",8600000,Found,1854,-38.1,145.3,"(-38.1, 145.3)"
Gebel Kamil,52031,Valid,"Iron, ungrouped",1600000,Found,2009,22.01833,26.08778,"(22.01833, 26.08778)"
Ghubara,10911,Valid,L5,1750000,Found,1954,19.22778,56.14278,"(19.22778, 56.14278)"
Gibeon,10912,Valid,"Iron, IVA",26000000,Found,1836,-25.5,18,"(-25.5, 18.0)"
Henbury,11872,Valid,"Iron, IIIAB",2000000,Found,1931,-24.56667,133.16667,"(-24.56667, 133.16667)"
Hoba,11890,Valid,"Iron, IVB",60000000,Found,1920,-19.58333,17.91667,"(-19.58333, 17.91667)"
Huckitta,11922,Valid,"Pallasite, PMG-an",2300000,Found,1924,-22.36667,135.76667,"(-22.36667, 135.76667)"
Mbosi,15456,Valid,"Iron, ungrouped",16000000,Found,1930,-9.11667,33.06667,"(-9.11667, 33.06667)"
Morito,16745,Valid,"Iron, IIIAB",10100000,Found,1600,27.05,-105.43333,"(27.05, -105.43333)"
Mundrabilla,16852,Valid,"Iron, IAB-ung",24000000,Found,1911,-30.78333,127.55,"(-30.78333, 127.55)"
Nantan,16906,Valid,"Iron, IAB-MG",9500000,Found,1958,25.1,107.7,"(25.1, 107.7)"
Navajo,16926,Valid,"Iron, IIAB",2184000,Found,1921,35.33333,-109.5,"(35.33333, -109.5)"
Odessa (iron),17985,Valid,"Iron, IAB-MG",1600000,Found,1922,31.71667,-102.4,"(31.71667, -102.4)"
Old Woman,18007,Valid,"Iron, IIAB",2753000,Found,1976,34.46667,-115.23333,"(34.46667, -115.23333)"
Quinn Canyon,22364,Valid,"Iron, IIIAB",1450000,Found,1908,38.08333,-115.53333,"(38.08333, -115.53333)"
Santa Apolonia,23160,Valid,"Iron, IIIAB",1316000,Found,1872,19.21667,-98.3,"(19.21667, -98.3)"
Santa Catharina,23162,Valid,"Iron, IAB-ung",7000000,Found,1875,-26.21667,-48.6,"(-26.21667, -48.6)"
Santa Luzia,23166,Valid,"Iron, IIAB",1918000,Found,1921,-16.26667,-47.95,"(-16.26667, -47.95)"
Toluca,24018,Valid,"Iron, IAB-sLL",3000000,Found,1776,19.56667,-99.56667,"(19.56667, -99.56667)"
Vaca Muerta,24142,Valid,Mesosiderite-A1,3828000,Found,1861,-25.75,-70.5,"(-25.75, -70.5)"
Wabar,24194,Valid,"Iron, IIIAB",2550000,Found,1863,21.49972,50.47222,"(21.49972, 50.47222)"
Willamette,24269,Valid,"Iron, IIIAB",15500000,Found,1902,45.36667,-122.58333,"(45.36667, -122.58333)"
Xifu,54608,Valid,"Iron, IAB complex",3000000,Found,2004,36.3,120.48333,"(36.3, 120.48333)"
Yingde,30363,Valid,"Iron, IVA",3000000,Found,1964,24.2,113.4,"(24.2, 113.4)"
Youndegin,30374,Valid,"Iron, IAB-MG",3800000,Found,1884,-32.1,117.71667,"(-32.1, 117.71667)"
Zhaoping,54609,Valid,"Iron, IAB complex",2000000,Found,1983,24.23333,111.18333,"(24.23333, 111.18333)"
