,STATENAME,ST_CASE,MONTHNAME,DAY,DAYNAME,HOUR,HARM_EV,NUMOCCS,NUMOCCSNAME,UNITTYPE,,,,REG_STAT,REG_STATNAME,OWNER,OWNERNAME,VIN,VINNAME,MOD_YEAR,MOD_YEARNAME,VPICMAKE,VPICMAKENAME,VPICMODEL,VPICMODELNAME,VPICBODYCLASS,VPICBODYCLASSNAME,MAKE,BODY_TYP,BODY_TYPNAME,ICFINALBODY,ICFINALBODYNAME,GVWR_FROM,GVWR_FROMNAME,FIRE_EXPNAME,MAK_MOD,MAK_MODNAME,VIN_1,VIN_2,VIN_3,CDL_STATNAME,L_ENDORS,L_ENDORSNAME,L_COMPL,L_COMPLNAME,L_RESTRI,L_RESTRINAME,DR_HGT,DR_HGTNAME,DR_WGT,DR_WGTNAME,PREV_ACC,PREV_ACCNAME,PREV_SUS1,PREV_SUS1NAME,PREV_SUS2,PREV_SUS2NAME,PREV_SUS3,PREV_SUS3NAME,PREV_DWI,PREV_DWINAME,PREV_SPD,PREV_SPDNAME,PREV_OTH,PREV_OTHNAME,FIRST_MO,FIRST_MONAME,FIRST_YR,FIRST_YRNAME,LAST_MO,LAST_MONAME,LAST_YR,LAST_YRNAME,SPEEDREL,SPEEDRELNAME,VTRAFWAY,VTRAFWAYNAME,VNUM_LAN,VNUM_LANNAME,VSPD_LIM,VSPD_LIMNAME,VALIGN,VALIGNNAME,VPROFILE,VPROFILENAME,VPAVETYP,VPAVETYPNAME,VSURCOND,VSURCONDNAME,VTRAFCON,VTRAFCONNAME,VTCONT_F,VTCONT_FNAME,P_CRASH1,P_CRASH1NAME,P_CRASH2,P_CRASH2NAME,P_CRASH3,P_CRASH3NAME,PCRASH4,PCRASH4NAME,PCRASH5,PCRASH5NAME,ACC_TYPE,ACC_TYPENAME,ACC_CONFIG,ACC_CONFIGNAME,MODEL,DEATHS,,,,,,,
15,Hawaii,150001,1,1,1,January,5:00am-5:59am,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,1,Driver (in this crash) was  Registered Owner,1N6DD26S6XC3,1N6DD26S6XC3,1999,1999,478,Nissan,1919,Frontier,Pickup,35,Nissan/Datsun,34,Light Pickup,0,8,Pedestrian,0,No or Not Reported,35472,Nissan/Datsun Frontier (1998 on),6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,3,"Restrictions, Compliance Unknown",999,Unknown,999,Unknown,0,None,0,None,0,None,0,None,0,None,0,None,1,1,9,September,2022,2022,9,September,2022,2022,0,No,1,"Two-Way, Not Divided",2,Two lanes,25,25 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,1,Going Straight,80,Pedestrian in road,99,Unknown/Not Reported,1,Tracking,1,Stayed in original travel lane,13,C13-Single Driver-Forward Impact-Pedestrian/ Animal,103,Single Driver-Struck Object While Moving Forward,472,0,,,,
15,Hawaii,150002,1,1,1,January,5:00am-5:59am,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,1,Driver (in this crash) was  Registered Owner,19VDE2E59DE0,19VDE2E59DE0,2013,2013,475,Acura,2150,ILX,Sedan/Saloon,54,Acura,4,"4-door sedan, hardtop",0,8,Pedestrian,0,No or Not Reported,54041,Acura ILX,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,3,"Restrictions, Compliance Unknown",68,68,181,181 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,No Record,0,No Record,0,No Record,0,No Record,0,No,1,"Two-Way, Not Divided",4,Four lanes,45,45 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,1,Going Straight,80,Pedestrian in road,1,No Avoidance Maneuver,1,Tracking,1,Stayed in original travel lane,13,C13-Single Driver-Forward Impact-Pedestrian/ Animal,103,Single Driver-Struck Object While Moving Forward,41,0,,,,
15,Hawaii,150003,1,1,1,January,10:00pm-10:59pm,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,0,Not Applicable,0,"Not Applicable, Vehicle Not Registered",4XARRE99XL80,4XARRE99XL80,2020,2020,566,Polaris,10364,Ranger,Off-road Vehicle - Recreational Off-Road Vehicle (ROV),98,Other Make,96,Recreational Off-Highway Vehicle,0,1,Rollover/Overturn,0,No or Not Reported,98734,Other Make 350cc or greater (ATV),6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,65,65,125,125 lbs.,0,None,0,None,0,None,0,None,0,None,1,1,0,None,11,November,2018,2018,11,November,2018,2018,4,"Yes, Too Fast for Conditions",1,"Two-Way, Not Divided",2,Two lanes,25,25 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,11,Turning Left,6,Traveling Too Fast for Conditions or Road Configuration,99,Unknown/Not Reported,9,Precrash stability unknown,4,Departed roadway,98,M98-Other Crash Type,998,Other Crash Type,734,1,,,,
15,Hawaii,150004,1,2,1,January,2:00am-2:59am,Motor Vehicle In-Transport,7,Sideswipe - Same Direction,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,1,Driver (in this crash) was  Registered Owner,5FRYD3H4XFB0,5FRYD3H4XFB0,2015,2015,475,Acura,2147,MDX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),54,Acura,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",0,14,Parked Motor Vehicle,0,No or Not Reported,54421,Acura MDX,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,62,62,140,140 lbs.,0,None,0,None,0,None,0,None,0,None,1,1,0,None,8,August,2018,2018,8,August,2018,2018,5,"Yes, Specifics Unknown",1,"Two-Way, Not Divided",2,Two lanes,25,25 MPH,1,Straight,5,Uphill,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,6,Passing or Overtaking Another Vehicle,11,Over the lane line on right side of travel lane,99,Unknown/Not Reported,1,Tracking,2,"Stayed on roadway, but left original travel lane",46,"F46-Same Trafficway, Same Direction-Angle, Sideswipe-Changing Lanes to the Right",207,"Same Trafficway, Same Direction-Sideswipe, Angle, Vehicle on Left",421,0,,,,
15,Hawaii,150004,2,2,1,January,2:00am-2:59am,Motor Vehicle In-Transport,7,Sideswipe - Same Direction,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,2,Driver (in this crash) Not Registered Owner (Other Private Owner Listed),1E+12,Reported as Unknown,1997,1997,448,Toyota,2216,4-Runner,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),49,Toyota,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,42,Tree (Standing Only),0,No or Not Reported,49401,Toyota 4-Runner,4,Canceled or denied,0,No (CDL),0,No Endorsements required for this vehicle,2,No valid license for this class vehicle,0,No Restrictions or Not Applicable,68,68,180,180 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,1,1,11,November,2022,2022,11,November,2022,2022,0,No,1,"Two-Way, Not Divided",2,Two lanes,25,25 MPH,1,Straight,5,Uphill,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,1,Going Straight,60,From adjacent lane (same direction) over left lane line,99,Unknown/Not Reported,1,Tracking,1,Stayed in original travel lane,45,"F45-Same Trafficway, Same Direction-Angle, Sideswipe-Straight Ahead on Left/Right",208,"Same Trafficway, Same Direction-Sideswipe, Angle, Vehicle on Right",401,1,,,,
15,Hawaii,150005,1,1,1,January,6:00pm-6:59pm,Embankment,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,1,Driver (in this crash) was  Registered Owner,1ZVFT80N0652,1ZVFT80N0652,2006,2006,460,Ford,1781,Mustang,Coupe,12,Ford,2,"2-door sedan,hardtop,coupe",0,1,Rollover/Overturn,0,No or Not Reported,12003,Ford Mustang/Mustang II,3,Expired,0,No (CDL),0,No Endorsements required for this vehicle,2,No valid license for this class vehicle,0,No Restrictions or Not Applicable,72,72,180,180 lbs.,0,None,0,None,0,None,0,None,0,None,2,2,10,10,8,August,2018,2018,3,March,2022,2022,4,"Yes, Too Fast for Conditions",3,"Two-Way,  Divided, Positive  Median Barrier",3,Three lanes,98,Not Reported,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",2,Wet,0,No Controls,0,No Controls,1,Going Straight,6,Traveling Too Fast for Conditions or Road Configuration,99,Unknown/Not Reported,9,Precrash stability unknown,4,Departed roadway,2,A2-Single Driver-Right Roadside Departure-Control/Traction Loss,101,Single Driver-Right Roadside Departure,3,1,,,,
15,Hawaii,150006,1,1,1,January,5:00pm-5:59pm,Pedalcyclist,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,3,Vehicle Registered as Commercial/Business/Company/Government Vehicle,1GB3CYCY5JF2,1GB3CYCY5JF2,2018,2018,467,Chevrolet,1850,Silverado,Incomplete - Chassis Cab (Single Cab),20,Chevrolet,61,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",11,9,Pedalcyclist,0,No or Not Reported,20881,Chevrolet Medium/Heavy - CBE,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,3,"Restrictions, Compliance Unknown",76,76,230,230 lbs.,0,None,0,None,0,None,0,None,0,None,1,1,0,None,6,June,2019,2019,6,June,2019,2019,0,No,3,"Two-Way,  Divided, Positive  Median Barrier",2,Two lanes,30,30 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,3,Traffic control signal(on colors) not known whether or not Pedestrian Signal,3,Device Functioning Properly,10,Turning Right,83,Pedalcyclist or other non-motorist in road,1,No Avoidance Maneuver,1,Tracking,1,Stayed in original travel lane,13,C13-Single Driver-Forward Impact-Pedestrian/ Animal,103,Single Driver-Struck Object While Moving Forward,881,0,,,,
15,Hawaii,150007,1,3,1,January,9:00am-9:59am,Motor Vehicle In-Transport,1,Front-to-Rear,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,1,Driver (in this crash) was  Registered Owner,KMHHM66D78U2,KMHHM66D78U2,2008,2008,498,Hyundai,5847,Tiburon,Coupe,55,Hyundai,3,3-door/2-door hatchback,0,12,Motor Vehicle In-Transport,0,No or Not Reported,55037,Hyundai Tiburon,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,3,"Restrictions, Compliance Unknown",67,67,158,158 lbs.,1,1,0,None,0,None,0,None,0,None,0,None,0,None,8,August,2021,2021,8,August,2021,2021,5,"Yes, Specifics Unknown",1,"Two-Way, Not Divided",5,Five lanes,25,25 MPH,1,Straight,6,Downhill,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,15,Changing Lanes,8,Other cause of control loss (specify:),1,No Avoidance Maneuver,1,Tracking,2,"Stayed on roadway, but left original travel lane",20,"D20-Same Trafficway, Same Direction-Rear End-Stopped",202,"Same Trafficway, Same Direction-Rear End, Lead Vehicle",37,1,,,,
15,Hawaii,150007,2,3,1,January,9:00am-9:59am,Motor Vehicle In-Transport,1,Front-to-Rear,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,1,Driver (in this crash) was  Registered Owner,JF2SH6AC3AH7,JF2SH6AC3AH7,2010,2010,523,Subaru,2234,Forester,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),48,Subaru,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,12,Motor Vehicle In-Transport,0,No or Not Reported,48401,Subaru Forester,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,3,"Restrictions, Compliance Unknown",63,63,160,160 lbs.,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,No Record,0,No Record,0,No Record,0,No Record,0,No,1,"Two-Way, Not Divided",5,Five lanes,25,25 MPH,1,Straight,6,Downhill,2,"Blacktop, Bituminous, or Asphalt",1,Dry,0,No Controls,0,No Controls,5,Stopped in Roadway,60,From adjacent lane (same direction) over left lane line,1,No Avoidance Maneuver,1,Tracking,1,Stayed in original travel lane,21,"D21-Same Trafficway, Same Direction-Rear End-Stopped, Straight",201,"Same Trafficway, Same Direction-Rear End, Trailing Vehicle",401,0,,,,
15,Hawaii,150007,3,3,1,January,9:00am-9:59am,Motor Vehicle In-Transport,1,Front-to-Rear,,,,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,15,Hawaii,2,Driver (in this crash) Not Registered Owner (Other Private Owner Listed),19XFB2F50EE0,19XFB2F50EE0,2014,2014,474,Honda,1863,Civic,Sedan/Saloon,37,Honda,4,"4-door sedan, hardtop",0,12,Motor Vehicle In-Transport,0,No or Not Reported,37031,"Honda Civic/CRX, del Sol",6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,66,66,999,Unknown,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,No Record,0,No Record,0,No Record,0,No Record,0,No,1,"Two-Way, Not Divided",5,Five lanes,25,25 MPH,1,Straight,6,Downhill,2,"Blacktop, Bituminous, or Asphalt",1,Dry,3,Traffic control signal(on colors) not known whether or not Pedestrian Signal,3,Device Functioning Properly,5,Stopped in Roadway,53,Traveling in same direction with higher speed,1,No Avoidance Maneuver,1,Tracking,1,Stayed in original travel lane,98,M98-Other Crash Type,998,Other Crash Type,31,0,,,,
