Vehicle_Make,Accident_Involved,Vehicle_Type,Drivers_License_Status
Nissan/Datsun Frontier ,Pedestrian,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Valid
Acura ILX,Tree (Standing Only),Motor Scooter,Valid
Other Make 350cc or greater (ATV),Pedestrian,Light Pickup,Valid
Acura MDX,Pedestrian,Light Pickup,Valid
Toyota 4-Runner,Rollover/Overturn,Light Pickup,Canceled or denied
Ford Mustang/Mustang II,Pedestrian,"4-door sedan, hardtop",Expired
Chevrolet Medium/Heavy - CBE,Motor Vehicle In-Transport,"4-door sedan, hardtop",Valid
Hyundai Tiburon,Motor Vehicle In-Transport,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",Valid
Subaru Forester,Pedalcyclist,Light Pickup,Valid
"Honda Civic/CRX, del Sol",Motor Vehicle In-Transport,"4-door sedan, hardtop",Valid
"Honda Civic/CRX, del Sol",Motor Vehicle In-Transport,Light Pickup,Valid
Other Make 0-50cc,Motor Vehicle In-Transport,"4-door sedan, hardtop",Expired
Jeep / Kaiser-Jeep / Willys- Jeep Compass,Pedalcyclist,"Single-unit straight truck or Cab-Chassis (GVWR range 19,501 to 26,000 lbs.)",Valid
Honda CR-V,Embankment,Two Wheel Motorcycle (excluding motor scooters),Valid
Jeep / Kaiser-Jeep / Willys- Jeep Cherokee ,Rollover/Overturn,Light Pickup,Revoked
Toyota Tacoma,Concrete Traffic Barrier,Two Wheel Motorcycle (excluding motor scooters),Expired
Other Make 125-349cc,Motor Vehicle In-Transport,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Suspended
Chevrolet Colorado,Motor Vehicle In-Transport,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Valid
Hyundai Sonata,Motor Vehicle In-Transport,Station Wagon (excluding van and truck based),Valid
Honda 0- 50 cc,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters),Valid
Honda 0- 50 cc,Rollover/Overturn,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Canceled or denied
